name,year_period,year,recclass,continent,country,mass_cleaned,mass_bin,recclass_clean,fall,reclat,reclong
Yamato 86763,20th Century,1986.0,Eucrite-cm,Antarctica,Antarctica,10.42,10-100g,ACHONDRITE,Found,-71.5,35.66667
Yamato 86767,20th Century,1986.0,C,Antarctica,Antarctica,2.86,1-10g,OTHER,Found,-71.5,35.66667
Yamato 86770,20th Century,1986.0,C,Antarctica,Antarctica,94.89,10-100g,OTHER,Found,-71.5,35.66667
Yamato 86771,20th Century,1986.0,C,Antarctica,Antarctica,38.31,10-100g,OTHER,Found,-71.5,35.66667
Yamato 86772,20th Century,1986.0,C,Antarctica,Antarctica,81.0,10-100g,OTHER,Found,-71.5,35.66667
Yamato 86773,20th Century,1986.0,C,Antarctica,Antarctica,28.35,10-100g,OTHER,Found,-71.5,35.66667
Yamato 86776,20th Century,1986.0,LL4,Antarctica,Antarctica,396.76,100-1kg,L4,Found,-71.5,35.66667
Yamato 86777,20th Century,1986.0,L6,Antarctica,Antarctica,80.48,10-100g,L6,Found,-71.5,35.66667
Yamato 86779,20th Century,1986.0,L6,Antarctica,Antarctica,15.92,10-100g,L6,Found,-71.5,35.66667
Yamato 86787,20th Century,1986.0,L6,Antarctica,Antarctica,4771.0,1-10kg,L6,Found,-71.5,35.66667
Yamato 86789,20th Century,1986.0,C2-ung,Antarctica,Antarctica,340.36,100-1kg,OTHER,Found,-71.5,35.66667
Yamato 86795,20th Century,1986.0,Howardite,Antarctica,Antarctica,9.07,1-10g,OTHER,Found,-71.5,35.66667
Yamato 86796,20th Century,1986.0,H6,Antarctica,Antarctica,6140.0,1-10kg,H6,Found,-71.5,35.66667
Yamato 86808,20th Century,1986.0,Diogenite,Antarctica,Antarctica,16.44,10-100g,ACHONDRITE,Found,-71.5,35.66667
Yamato 86810,20th Century,1986.0,Diogenite,Antarctica,Antarctica,55.44,10-100g,ACHONDRITE,Found,-71.5,35.66667
Yamato 9202,20th Century,1992.0,Diogenite,Antarctica,Antarctica,3.0,1-10g,ACHONDRITE,Found,-71.5,35.66667
Yamato 9401,20th Century,1994.0,H4,Antarctica,Antarctica,42.97,10-100g,H4,Found,-71.54694,35.40194
Yamato 9402,20th Century,1994.0,H4,Antarctica,Antarctica,13.89,10-100g,H4,Found,-71.54694,35.40194
